region	pathogen	test_result	country	2021-12-11	2021-12-18	2021-12-25	2022-01-01	2022-01-08	2022-01-15	2022-01-22	2022-01-29	2022-02-05	2022-02-12	2022-02-19	2022-02-26	2022-03-05	2022-03-12	2022-03-19	2022-03-26	2022-04-02	2022-04-09	2022-04-16	2022-04-23	2022-04-30	2022-05-07	2022-05-14	2022-05-21	2022-05-28	2022-06-04	2022-06-11	2022-06-18	2022-06-25	2022-07-02	2022-07-09	2022-07-16	2022-07-23	2022-07-30	2022-08-06	2022-08-13	2022-08-20	2022-08-27	2022-09-03	2022-09-10	2022-09-17	2022-09-24	2022-10-01	2022-10-08	2022-10-15	2022-10-22	2022-10-29	2022-11-05	2022-11-12	2022-11-19	2022-11-26	2022-12-03	2022-12-10	2022-12-17	2022-12-24	2022-12-31	2023-01-07	2023-01-14	2023-01-21	2023-01-28	2023-02-04
Sudeste	BOCA	1	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sudeste	BOCA	0	Brazil	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Centro-Oeste	BOCA	1	Brazil	0	0	0	3	2	2	0	3	2	1	1	8	9	3	5	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Centro-Oeste	BOCA	0	Brazil	0	0	0	32	345	340	158	128	64	53	49	54	37	22	19	19	10	1	0	7	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	12	0
Sudeste	ENTERO	1	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sudeste	ENTERO	0	Brazil	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Centro-Oeste	ENTERO	1	Brazil	0	0	0	0	2	2	0	0	1	1	2	3	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Centro-Oeste	ENTERO	0	Brazil	0	0	0	35	345	340	158	131	65	53	48	59	45	24	23	22	9	1	0	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16	11	0
Sudeste	BAC	0	Brazil	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Centro-Oeste	BAC	0	Brazil	0	0	0	35	347	342	158	131	66	54	50	62	46	25	24	22	10	1	0	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16	12	0
Sudeste	ADENO	1	Brazil	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sudeste	ADENO	0	Brazil	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Centro-Oeste	ADENO	1	Brazil	0	0	0	0	1	1	0	6	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Centro-Oeste	ADENO	0	Brazil	0	0	0	35	346	341	158	125	62	53	50	62	46	25	24	22	10	1	0	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16	12	0
Sudeste	META	1	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sudeste	META	0	Brazil	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Centro-Oeste	META	1	Brazil	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Centro-Oeste	META	0	Brazil	0	0	0	35	347	341	158	131	64	53	50	62	46	25	24	22	10	1	0	8	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16	11	0
Sudeste	COVS	0	Brazil	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
